index,year,indicator_id,mean,median,% Change YoY of Mean,% Change YoY of Median
4,1996,Z5BR,222678.34,182886.0,0.0,0.0
14,1997,Z5BR,229721.42,188024.0,3.16,2.81
24,1998,Z5BR,240780.97,195089.0,4.81,3.76
34,1999,Z5BR,254726.22,203029.0,5.79,4.07
44,2000,Z5BR,272456.58,211137.0,6.96,3.99
54,2001,Z5BR,295513.45,223318.0,8.46,5.77
64,2002,Z5BR,315963.73,235821.0,6.92,5.6
74,2003,Z5BR,339330.92,249723.26,7.4,5.9
84,2004,Z5BR,369350.75,268242.24,8.85,7.42
94,2005,Z5BR,393270.01,279018.3,6.48,4.02
104,2006,Z5BR,415410.22,291988.27,5.63,4.65
114,2007,Z5BR,415566.43,295233.6,0.04,1.11
124,2008,Z5BR,383168.15,275847.0,-7.8,-6.57
134,2009,Z5BR,352074.53,255612.5,-8.11,-7.34
144,2010,Z5BR,340874.99,246028.92,-3.18,-3.75
154,2011,Z5BR,327380.07,234977.0,-3.96,-4.49
164,2012,Z5BR,326938.78,232949.0,-0.13,-0.86
174,2013,Z5BR,345083.26,241757.0,5.55,3.78
184,2014,Z5BR,363726.28,250419.0,5.4,3.58
194,2015,Z5BR,376847.86,256859.2,3.61,2.57
204,2016,Z5BR,391595.28,266375.0,3.91,3.7
214,2017,Z5BR,406744.3,276815.5,3.87,3.92
224,2018,Z5BR,426411.57,289107.0,4.84,4.44
234,2019,Z5BR,438666.21,300676.0,2.87,4.0
244,2020,Z5BR,453635.66,314310.0,3.41,4.53
254,2021,Z5BR,529842.42,363770.71,16.8,15.74
264,2022,Z5BR,724815.02,500838.74,36.8,37.68
274,2023,Z5BR,831441.03,581519.19,14.71,16.11
284,2024,Z5BR,868578.66,605271.53,4.47,4.08
294,2025,Z5BR,927708.6,639490.64,6.81,5.65
